Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-746.4296	-815.8165	69.38684	0.0378767	0.0162654	0.0163532	0.0149495	0.00251993	0.00138371	0.00123973	5.65169e-05	0.00519496	0.0171259	0.00332492	0.00736175	0.00106783	0.00120516	0.0134985	0.00591834	0.00285914	0.00683373	0.0152229	0.0188723	0.01241	0.00067115	0.0215397	0.00806708	0.00346336	0.00056347	0.016616	0.0198894	0.00187151	0.0077153	0.00126239	0.0240186	0.00916782	0.0729262	0.00524587	0.00384707	0.000836984	0.0114403	0.0110406	0.0479801	0.000137145	0.00289333	0.0098611	0.000553973	0.017673	0.0137116	0.0134347	0.00141135	0.00182786	0.00692253	0.0120999	0.4039068	1.596093	0.0356056	0.196595	0.602015	1.66109	5.0866	28.0854	2.411616	3.951638	0.0688381	0.0295612	0.0297208	0.0271695	0.00457978	0.00251479	0.00225311	0.000102715	0.00944145	0.0311251	0.00604279	0.0133794	0.0019407	0.00219029	0.0245325	0.0107561	0.00519627	0.0124198	0.0276664	0.034299	0.0225542	0.00121976	0.0391468	0.0146613	0.00629439	0.00102406	0.0301983	0.0361474	0.00340133	0.014022	0.00229431	0.0436519	0.0166618	0.132538	0.00953398	0.00699176	0.00152115	0.0207918	0.0200654	0.0872002	0.00024925	0.0052584	0.0179218	0.0010068	0.0321193	0.0249197	0.0244165	0.00256502	0.00332199	0.0125812	0.0219906	0.148218	0.851782	0.148218	0.5502293
36	-741.0432	-811.3999	70.35673	0.038447	0.0221876	0.00401456	0.0427357	0.00196807	0.000778369	0.00552297	0.000879206	0.0040108	0.00433884	0.0065697	0.00153511	0.00351629	0.00414399	0.00720837	0.00363339	0.00499825	0.00990451	0.00374532	0.0295155	0.00607672	0.00150604	0.00419226	0.0206528	0.000598027	0.00187072	0.0170728	0.0232348	0.00435475	0.00230338	0.00116542	0.00563674	0.0100497	0.0643708	0.00682135	0.0029897	0.00387515	0.0146616	0.00511684	0.0532961	0.00716834	0.00557289	0.0511347	0.00451092	0.0278111	0.0164759	0.00292488	0.0019637	0.00241885	0.0103564	0.00845027	0.7217023	1.278298	0.0347058	0.194156	0.599675	1.66757	5.1505	28.8136	2.430125	1.771226	0.0653542	0.0377156	0.00682416	0.0726442	0.00334542	0.00132311	0.00938823	0.00149452	0.00681776	0.00737538	0.0111675	0.00260946	0.00597717	0.00704416	0.0122532	0.00617622	0.00849628	0.0168362	0.00636649	0.0501719	0.0103295	0.00256004	0.00712622	0.0351066	0.00101656	0.00317994	0.0290212	0.0394957	0.00740243	0.0039154	0.00198104	0.00958162	0.017083	0.109421	0.0115953	0.00508205	0.00658717	0.0249225	0.00869786	0.0905954	0.0121851	0.00947308	0.0869214	0.00766789	0.0472746	0.0280065	0.00497185	0.003338	0.00411168	0.0176043	0.0143642	0.301712	0.698288	0.3017124	0.588287
72	-739.8609	-809.9982	70.13728	0.0467288	0.0131968	0.0352836	0.0186108	0.000284499	0.00395203	0.00598024	0.00326772	0.00268065	0.00135227	0.00426025	0.000358075	0.0055894	0.00030262	0.0170574	0.00614231	0.00321869	0.00450547	0.0116959	0.0137007	0.0107017	0.0026613	0.0113925	0.0013969	0.00359298	0.000656387	0.00609426	0.0270368	0.00325792	0.00825237	0.022923	0.0314628	0.000675487	0.0969544	0.00817167	0.00434891	0.00016522	0.00617058	0.00607858	0.0444935	0.0080411	0.013141	0.0189419	0.00164197	0.0335125	0.0358457	0.0168686	0.00417914	0.0170147	0.00458946	0.00116529	0.7953241	1.204676	0.0207557	0.1511	0.554556	1.80324	6.61815	48.1796	2.801845	1.514698	0.0719351	0.0203154	0.0543162	0.0286498	0.000437963	0.00608381	0.00920607	0.00503038	0.00412664	0.00208171	0.00655829	0.000551227	0.00860441	0.000465858	0.0262584	0.00945558	0.0049549	0.0069358	0.0180048	0.0210911	0.0164744	0.00409685	0.0175377	0.00215041	0.0055311	0.00101045	0.00938161	0.0416209	0.0050153	0.0127038	0.035288	0.0484344	0.00103986	0.149253	0.0125796	0.00669479	0.000254343	0.00949909	0.00935747	0.068494	0.0123786	0.0202295	0.0291594	0.00252767	0.0515897	0.0551815	0.0259678	0.00643344	0.0261927	0.00706509	0.00179387	0.251656	0.748344	0.2516558	0.6495968
108	-748.1694	-817.395	69.22556	0.00635301	0.00136104	0.0097096	0.00361564	0.00134121	0.00107846	0.00107696	0.00122691	0.00120632	0.00314901	0.00238671	0.00141286	0.00010974	0.000344311	0.00537942	0.00165688	0.00145501	0.00448353	0.00442938	0.00544123	0.00321323	0.00404755	0.0119114	0.000606256	0.00171146	0.00020442	0.0100681	0.00771868	0.00329613	0.00478423	0.00515483	0.0262094	0.00289716	0.0295948	0.0020845	0.00277932	0.000422213	0.0067414	0.00249	0.0288988	0.00464234	0.00397857	0.00324473	0.00398786	0.000491799	0.0086602	0.00893711	0.00221237	0.0105975	0.00515736	0.00822439	0.5731288	1.426871	0.0153676	0.130498	0.529767	1.88762	7.66296	65.0718	3.019168	2.489617	0.0233408	0.00500043	0.0356728	0.0132837	0.00492757	0.00396223	0.00395673	0.00450765	0.00443197	0.0115693	0.0087687	0.00519082	0.000403181	0.00126499	0.0197638	0.00608731	0.00534566	0.0164723	0.0162734	0.0199909	0.0118053	0.0148706	0.0437622	0.00222736	0.00628787	0.000751031	0.0369897	0.0283582	0.0121099	0.0175771	0.0189387	0.0962924	0.0106441	0.10873	0.00765837	0.0102111	0.0015512	0.0247677	0.00914817	0.106173	0.0170558	0.0146171	0.011921	0.0146513	0.00180685	0.0318173	0.0328347	0.00812816	0.0389349	0.018948	0.0302161	0.271163	0.728837	0.2711627	0.2721853
144	-748.3936	-817.4207	69.02707	0.0507479	0.01313	0.126074	0.0267912	0.00158474	0.00304227	0.00193572	0.012869	0.0191327	0.00339896	0.0100606	0.00922382	0.00877533	0.00364728	0.0184109	0.00544962	0.00793921	0.018028	0.00818498	0.0370708	0.019606	0.00388024	0.0199002	0.0161663	0.00262938	0.00731049	0.017403	0.0445928	0.0651387	0.0245335	0.0109445	0.0531278	0.0213605	0.109129	0.0118643	0.00846043	4.41934e-05	0.00692258	0.0128546	0.0157068	0.0175583	0.017073	0.0258438	0.0123303	0.112228	0.00228061	0.0182557	0.0011773	0.0108228	0.00124405	0.00936753	0.4558965	1.544104	0.0280235	0.174925	0.580476	1.72273	5.71673	35.6844	2.584763	3.386961	0.0467613	0.0120985	0.11617	0.0246866	0.00146025	0.00280329	0.00178366	0.0118581	0.0176297	0.00313195	0.00927033	0.00849923	0.00808598	0.00336076	0.0169646	0.00502152	0.00731554	0.0166118	0.007542	0.0341587	0.0180658	0.00357543	0.0183369	0.0148963	0.00242282	0.00673621	0.0160359	0.0410898	0.0600217	0.0226063	0.0100847	0.0489543	0.0196825	0.100556	0.0109323	0.00779582	4.07217e-05	0.00637877	0.0118448	0.0144729	0.016179	0.0157318	0.0238136	0.0113616	0.103412	0.00210145	0.0168216	0.00108482	0.00997264	0.00114632	0.00863166	0.100093	0.899907	0.1000935	1.085253
180	-749.3675	-819.0805	69.71295	0.0568494	0.0179457	0.0555991	0.124794	0.00145225	0.000719327	0.00995855	0.0146039	0.0124842	0.00882438	0.00743207	0.00813825	0.0167665	0.0157204	0.0306569	0.0030692	0.0159809	0.0326361	0.020683	0.0303899	0.0592288	0.036501	0.00804575	0.0183574	0.015311	0.00462216	0.0236776	0.0534816	0.020507	0.0340133	0.0131015	0.00930883	0.0132458	0.229792	0.0187201	0.0100005	0.00429655	0.00299307	0.0124356	0.0107784	0.0318284	0.0298885	0.0112196	0.0323374	0.142404	0.0126493	0.0127835	0.0042885	0.0250582	0.01192	0.00175232	0.6180357	1.381964	0.0590918	0.251693	0.650253	1.53786	3.9731	16.9228	2.045318	2.236059	0.0406285	0.0128252	0.0397349	0.0891864	0.00103787	0.00051408	0.00711705	0.0104369	0.00892202	0.0063065	0.00531146	0.00581614	0.0119825	0.0112349	0.0219095	0.00219346	0.011421	0.0233239	0.0147814	0.0217187	0.0423289	0.0260861	0.00575003	0.0131194	0.0109423	0.00330331	0.0169216	0.0382216	0.0146557	0.0243082	0.00936323	0.00665272	0.00946636	0.164225	0.0133786	0.00714702	0.0030706	0.00213905	0.00888733	0.00770301	0.0227467	0.0213603	0.0080183	0.0231105	0.101771	0.00904003	0.00913592	0.00306485	0.0179083	0.00851884	0.00125232	0.0952055	0.904794	0.09520554	1.399252
216	-750.5166	-818.8223	68.30564	0.0388353	0.0494195	0.0467984	0.0658346	0.00717879	0.000939758	0.00226835	0.0184262	0.000701032	0.00975994	0.0208004	0.0116517	0.0146274	0.00202199	0.0617163	0.0225988	0.00820786	0.025725	0.0051723	0.101016	0.00208156	0.0433347	0.0418025	0.0515287	0.00627826	0.00668489	0.0166754	0.0313954	0.029742	0.00743749	0.0180643	0.0535759	0.0166895	0.267917	0.0137363	0.0359809	0.0351741	0.0245042	0.00300393	0.00302277	0.000222033	0.00051634	0.0176717	0.0156965	0.00493798	0.103427	0.00738905	0.000812129	0.0283011	0.0126094	0.0500755	0.3149945	1.685005	0.046055	0.222883	0.626054	1.59731	4.48666	21.7131	2.225547	5.349316	0.026527	0.0337568	0.0319664	0.0449694	0.00490359	0.000641916	0.00154944	0.0125863	0.000478851	0.00666668	0.014208	0.00795887	0.00999149	0.00138115	0.0421563	0.0154364	0.00560651	0.0175719	0.00353302	0.0690007	0.00142184	0.0296005	0.0285538	0.0351975	0.00428846	0.00456622	0.0113904	0.0214451	0.0203157	0.0050803	0.0123391	0.0365959	0.0114	0.183005	0.00938278	0.0245773	0.0240263	0.016738	0.00205188	0.00206475	0.000151663	0.000352694	0.0120709	0.0107217	0.00337296	0.0706471	0.00504721	0.000554737	0.0193315	0.00861302	0.0342049	0.120361	0.879639	0.1203614	1.463988
252	-756.4258	-825.8565	69.4307	0.000711587	0.0954247	0.0106224	0.0798802	0.000822281	0.00866924	0.00707044	0.000259676	0.00622362	0.00867863	0.000495172	0.00113385	0.010208	0.00360931	0.0227056	0.0147233	0.0115399	0.0104783	0.00910494	0.00883662	0.0270339	0.000378667	0.0246555	0.00271101	0.00464504	0.00074843	0.011449	0.0131373	0.132407	0.0261066	0.0435023	0.0129239	0.0276829	0.125081	0.0184786	0.0210474	0.0519253	0.0527099	0.00700518	0.00884569	0.0154209	0.000364955	0.022156	0.00508053	0.00472035	0.047635	0.00340868	0.0024626	0.0365538	0.019928	0.006696	0.5608775	1.439122	0.0301969	0.181415	0.587111	1.70326	5.51222	33.116	2.530753	2.565841	0.000653973	0.0876985	0.00976234	0.0734126	0.000755704	0.00796732	0.00649797	0.000238651	0.00571972	0.00797595	0.00045508	0.00104205	0.00938148	0.00331708	0.0208672	0.0135312	0.0106055	0.00962989	0.00836775	0.00812116	0.0248451	0.000348008	0.0226592	0.00249151	0.00426895	0.000687833	0.010522	0.0120736	0.121687	0.0239928	0.0399801	0.0118775	0.0254415	0.114954	0.0169825	0.0193433	0.0477211	0.0484422	0.006438	0.00812949	0.0141723	0.000335406	0.0203621	0.00466918	0.00433816	0.0437782	0.00313269	0.00226322	0.0335941	0.0183145	0.00615385	0.194188	0.805812	0.1941884	1.088099
288	-746.6814	-817.154	70.47252	0.0160401	0.0284841	0.0290611	0.0296426	0.0052063	0.000486805	0.00079437	0.00112944	0.00383252	0.00932489	0.00169894	3.62302e-05	0.000754555	0.00154138	0.0165412	0.00361164	0.00650689	0.0177591	0.019244	0.0227652	0.0045651	0.00341362	0.0259496	0.0294869	0.00161662	7.83492e-05	8.72644e-05	0.00400383	0.0164191	0.0150815	0.00940941	0.00331519	0.00476548	0.0893867	0.0247184	0.00253594	0.0182652	0.00779304	0.00227699	0.0108412	0.0267662	0.000106822	0.0114042	0.00462143	0.0349961	0.00337781	0.00622345	0.00447327	0.0142749	0.0221842	0.000801009	0.7919656	1.208034	0.0327392	0.18871	0.594376	1.68244	5.29914	30.5444	2.472304	1.525362	0.0259674	0.0461131	0.0470472	0.0479887	0.00842852	0.000788093	0.00128601	0.00182846	0.00620451	0.0150962	0.00275043	5.86534e-05	0.00122156	0.00249536	0.0267787	0.00584692	0.0105341	0.0287504	0.0311542	0.0368548	0.00739048	0.00552634	0.0420101	0.0477366	0.00261716	0.00012684	0.000141273	0.00648183	0.026581	0.0244155	0.015233	0.00536699	0.00771487	0.144709	0.0400169	0.00410546	0.0295697	0.0126162	0.00368623	0.0175509	0.043332	0.000172936	0.0184623	0.00748168	0.0566555	0.00546837	0.0100752	0.00724181	0.0231097	0.0359142	0.00129676	0.318206	0.681794	0.3182058	0.6176999
324	-747.1025	-817.2992	70.19669	0.0554236	0.0116085	0.00977548	0.0229603	0.00217711	0.00501241	0.00145586	0.00535538	0.000687551	0.00572155	0.000464826	2.4544e-05	0.00352225	0.00462233	0.00900271	0.00438305	0.000773698	0.0111227	0.00675808	0.00753749	0.0186047	0.000686019	0.0276414	0.00230478	0.000293351	0.000106477	0.000288673	0.00345821	0.0156967	0.0161707	0.00986761	0.00166814	0.00307794	0.0579845	0.0136595	0.000100626	0.0117978	0.0135817	0.00294819	0.00103879	0.0190148	0.00639859	0.0014187	0.00197417	0.0139175	0.0111573	0.0115762	0.00375882	0.00499446	0.0180608	0.00805801	0.6524937	1.347506	0.0350112	0.194987	0.600475	1.66535	5.12854	28.5623	2.42379	2.065164	0.117999	0.0247151	0.0208124	0.0488834	0.00463517	0.0106716	0.00309959	0.0114018	0.00146382	0.0121814	0.000989635	5.22552e-05	0.00749901	0.00984114	0.0191672	0.00933171	0.00164724	0.0236807	0.0143882	0.0160476	0.0396102	0.00146056	0.0588498	0.00490698	0.000624556	0.000226694	0.000614597	0.00736267	0.033419	0.034428	0.0210086	0.00355154	0.00655307	0.123451	0.0290817	0.000214237	0.025118	0.028916	0.00627682	0.00221163	0.0404833	0.0136229	0.00302046	0.0042031	0.029631	0.0237543	0.0246462	0.00800269	0.0106334	0.0384522	0.0171559	0.390291	0.609709	0.3902914	0.4696946
