Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-749.4842	-818.8281	69.34385	2.194935	2.597812	0.239047	0.760953	1.427527
6	-751.817	-822.2707	70.45369	2.036933	1.365306	0.267271	0.732729	1.262888
12	-758.5975	-827.6663	69.06877	1.940024	1.50074	0.161356	0.838644	2.238467
18	-753.1054	-823.4293	70.32396	2.192015	1.476699	0.385478	0.614522	1.168882
24	-751.1284	-821.2763	70.14791	2.425151	1.920089	0.117438	0.882562	0.8062491
30	-753.8291	-823.9432	70.11406	2.23506	1.885737	0.0322989	0.967701	1.070393
36	-747.1583	-817.318	70.15965	2.394267	2.184566	0.0705151	0.929485	0.529598
42	-750.8856	-821.2696	70.384	2.156181	1.907954	0.128412	0.871588	0.8567529
48	-751.4045	-822.007	70.60248	2.52549	1.312886	0.273068	0.726932	0.457224
54	-743.0963	-813.5281	70.43175	2.686232	1.322211	0.273068	0.726932	0.445915
60	-742.6733	-813.3942	70.72088	2.353595	1.32263	0.302251	0.697749	0.6741877
66	-754.3114	-824.1384	69.827	2.538484	1.364376	0.147479	0.852521	1.364528
72	-749.5481	-819.6794	70.13129	2.458692	2.094577	0.133143	0.866857	0.5938588
78	-757.5385	-826.9966	69.45816	2.60326	2.96263	0.381319	0.618681	0.7842828
84	-758.8521	-828.8935	70.0414	2.634997	1.150626	0.199068	0.800932	1.258707
90	-741.2048	-811.2936	70.08886	2.334636	1.568386	0.321615	0.678385	1.191363
96	-745.5096	-814.8865	69.37685	2.200427	2.468239	0.262742	0.737258	1.446363
102	-744.3809	-813.807	69.42606	2.01644	1.486083	0.30126	0.69874	1.960794
108	-753.2734	-822.9622	69.68879	1.924914	1.725531	0.122155	0.877845	1.72872
114	-743.8021	-813.4079	69.60575	2.221167	2.793698	0.151377	0.848623	1.114211
120	-749.0242	-818.6241	69.59997	2.290571	1.453004	0.0812865	0.918714	1.668352
126	-744.1204	-813.772	69.65161	2.319186	1.703668	0.392754	0.607246	1.479602
132	-742.0758	-811.509	69.43325	2.162505	2.345425	0.220885	0.779115	1.479602
138	-747.5704	-818.0297	70.45927	1.898309	1.669317	0.220885	0.779115	1.187958
144	-739.2471	-808.9989	69.7518	2.241867	2.038087	0.307367	0.692633	1.299843
150	-745.5475	-815.5068	69.95935	2.113994	2.07391	0.0321577	0.967842	1.216651
156	-743.4827	-813.7863	70.30367	2.216927	1.452087	0.0654864	0.934514	1.180887
162	-741.8735	-811.9299	70.05637	2.183046	2.101036	0.27137	0.72863	1.054322
168	-742.3811	-812.3108	69.92973	2.070021	2.561117	0.111481	0.888519	1.054322
174	-746.5838	-816.4685	69.88471	1.950865	1.445121	0.289463	0.710537	1.711606
180	-752.0081	-821.7052	69.69712	2.148868	2.272943	0.0391945	0.960805	1.314189
186	-755.4858	-823.6558	68.17	1.903486	1.814761	0.101827	0.898173	2.691348
192	-746.1293	-816.416	70.28669	2.314914	1.639951	0.113358	0.886642	0.9794182
198	-749.2492	-818.564	69.31474	2.123257	2.898955	0.113358	0.886642	1.39923
204	-753.0901	-822.5179	69.4278	1.898082	2.526224	0.281607	0.718393	1.612009
210	-755.3863	-824.3145	68.9282	1.959987	2.124173	0.0898433	0.910157	2.057808
216	-762.1168	-832.8205	70.70373	1.802012	1.17141	0.253049	0.746951	1.381172
222	-746.3135	-816.2318	69.91829	1.961566	2.058655	0.353629	0.646371	1.381172
228	-748.0737	-818.1156	70.04193	1.98698	1.628142	0.171814	0.828186	1.474321
234	-749.2509	-819.139	69.88805	2.128504	2.434676	0.244669	0.755331	1.096752
240	-758.4032	-828.6272	70.22406	2.455957	1.914176	0.298912	0.701088	0.6358439
246	-750.608	-820.9124	70.30435	2.148106	1.932369	0.143119	0.856881	0.9391168
252	-747.6832	-818.2759	70.59267	2.191035	1.236597	0.193491	0.806509	1.100087
258	-752.0098	-821.8	69.79024	2.072303	1.752193	0.210694	0.789306	1.536702
264	-756.7855	-826.904	70.11855	2.114117	1.752193	0.187629	0.812371	1.247311
270	-751.8375	-821.4663	69.62879	2.871477	2.259067	0.240948	0.759052	0.4180386
276	-744.1821	-814.7263	70.54415	2.484851	1.26888	0.209541	0.790459	0.8120136
282	-749.9537	-820.2574	70.30363	2.537491	1.612829	0.459089	0.540911	0.7037388
288	-740.0559	-810.481	70.42507	2.416049	1.612829	0.118422	0.881578	0.7037388
294	-741.9634	-812.2713	70.30791	2.323579	1.729608	0.14294	0.85706	0.8820281
300	-746.9375	-817.2834	70.34586	2.409039	1.778765	0.0988784	0.901122	0.6572895
306	-751.3386	-821.0146	69.67592	2.51653	2.932335	0.469719	0.530281	0.5147331
312	-755.4436	-825.6882	70.24451	2.007114	1.533336	0.29623	0.70377	1.353719
318	-747.7776	-818.3401	70.56248	2.194259	1.680776	0.203016	0.796984	0.7634374
324	-749.7905	-818.4877	68.69724	2.052438	2.943715	0.339534	0.660466	1.881844
330	-741.8102	-811.7169	69.90662	2.372852	2.449314	0.358482	0.641518	0.8102383
336	-740.2543	-810.029	69.77472	2.244294	2.157317	0.247896	0.752104	1.223025
342	-742.9957	-813.797	70.80121	2.21541	0.9358274	0.234729	0.765271	1.145933
348	-738.46	-808.7001	70.2401	2.164381	1.670983	0.121958	0.878042	1.145933
354	-746.6954	-816.525	69.82961	2.209411	1.86431	0.28023	0.71977	1.346966
360	-749.1408	-819.7566	70.61573	2.364259	1.434392	0.0759434	0.924057	0.6871381
366	-751.9349	-821.7833	69.8484	2.357071	1.749871	0.0759434	0.924057	1.27112
372	-753.0893	-822.5142	69.42493	1.728084	1.479735	0.15929	0.84071	2.155139
378	-748.6336	-817.451	68.81743	1.659122	2.547794	0.286802	0.713198	2.183051
384	-747.6299	-817.3631	69.73318	1.850941	1.717152	0.212612	0.787388	1.753345
390	-751.0476	-820.3757	69.32803	1.989302	2.747475	0.0688337	0.931166	1.541909
396	-759.5987	-826.4812	66.8825	2.08069	2.663293	0.154254	0.845746	3.085208
402	-748.1702	-818.1048	69.93455	1.912904	1.565238	0.191339	0.808661	1.640437
408	-753.3808	-822.5442	69.1634	2.122035	2.889933	0.367625	0.632375	1.518329
414	-755.0624	-824.084	69.02154	2.224147	3.473584	0.114376	0.885624	1.367335
420	-757.1739	-826.7078	69.53389	2.146389	2.33166	0.199226	0.800774	1.420546
426	-758.196	-826.3679	68.17182	2.385232	5.046045	0.145689	0.854311	1.506609
432	-756.5295	-823.2338	66.7043	2.021705	8.652689	0.199784	0.800216	2.218759
438	-752.7164	-820.6718	67.95532	1.69573	6.589406	0.162369	0.837631	1.877876
444	-752.3513	-821.6886	69.33732	1.824564	2.114666	0.213793	0.786207	1.877876
450	-746.8342	-815.5672	68.73306	2.254638	4.743474	0.0150679	0.984932	1.235128
456	-749.8565	-818.4651	68.60855	2.275426	3.564211	0.424461	0.575539	1.614277
462	-748.9465	-818.6472	69.70073	2.321098	2.255851	0.319966	0.680034	1.174717
468	-740.8855	-810.3517	69.46612	1.936632	2.524112	0.214676	0.785324	1.556601
474	-751.2845	-820.8129	69.52845	2.199865	1.923249	0.406706	0.593294	1.556601
480	-759.316	-829.5602	70.2442	1.975246	1.784436	0.265909	0.734091	1.240952
